,lat,long,total_bikes
0,43.665269,-79.319796,19
0,43.67142,-79.445947,15
0,43.666224,-79.317693,23
0,43.653236,-79.376716,25
0,43.663722,-79.380288,15
0,43.657763,-79.389165,25
0,43.656729,-79.382736,22
0,43.664467,-79.414783,19
0,43.675492,-79.388858,15
0,43.674991,-79.396273,11
0,43.671944,-79.387778,17
0,43.662365,-79.351104,18
0,43.646144,-79.377962,47
0,43.663993,-79.358534,11
0,43.657266,-79.374756,27
0,43.6672144,-79.3452697,15
0,43.673939,-79.441159,15
0,43.657991,-79.340075,11
0,43.66745,-79.329408,23
0,43.672453,-79.338259,15
0,43.6592088,-79.3348396,14
0,43.689211,-79.35438,23
0,43.655431,-79.380653,14
0,43.656927,-79.378497,16
0,43.661324,-79.449534,12
0,43.658295,-79.372346,16
0,43.6940155,-79.2889842,20
0,43.6809164,-79.4229684,16
0,43.6910667,-79.39535,15
0,43.6975969,-79.39654,15
0,43.639832,-79.395954,35
0,43.667158,-79.402761,15
0,43.667333,-79.399429,19
0,43.6480008,-79.383177,19
0,43.656518,-79.389099,11
0,43.658148,-79.398167,19
0,43.687999,-79.38906,16
0,43.63796,-79.387502,27
0,43.6563889,-79.45166666666667,15
0,43.639179,-79.399595,19
0,43.6322445,-79.4108105,27
0,43.6616667,-79.40138888888889,15
0,43.66666667,-79.45833333333334,19
0,43.657192,-79.452559,15
0,43.6576,-79.4032,11
0,43.660694,-79.379052,17
0,43.636533,-79.395854,27
0,43.640132,-79.380464,56
0,43.659777,-79.382767,19
0,43.643667,-79.380414,11
0,43.666233,-79.373327,23
0,43.640114,-79.393249,23
0,43.6366666666667,-79.4197222222222,23
0,43.653766,-79.4016759,15
0,43.6587734,-79.443054,23
0,43.6538888888889,-79.4413888888889,15
0,43.6508333333333,-79.4430555555556,19
0,43.651238,-79.43868,15
0,43.6544915,-79.422634,11
0,43.6543604,-79.4655296,11
0,43.635932,-79.465083,19
0,43.654501,-79.460053,12
0,43.637894,-79.454823,27
0,43.634896,-79.467763,19
0,43.6535269,-79.4650569,23
0,43.6314,-79.4304,31
0,43.636731,-79.444966,19
0,43.6534268,-79.4512787,12
0,43.7112153,-79.39894,16
0,43.655227,-79.39201,15
0,43.685167,-79.34962,12
0,43.6704537,-79.39014,9
0,43.6691099,-79.38551,22
0,43.641389,-79.404444,15
0,43.643834,-79.396649,15
0,43.6545174,-79.3895315,19
