,lat,long,total_bikes,restaurant_name,distance,rating,location
0,43.665269,-79.319796,19.0,Te Aro,1570,8.9,983 Queen St E
1,43.67142,-79.445947,15.0,Boxcar Social,2262,8.9,4 Boulton Ave
2,43.666224,-79.317693,23.0,House on Parliament,3867,8.9,454 Parliament St
3,43.653236,-79.376716,25.0,Neo Coffee Bar,4293,9.0,161 Frederick St
4,43.663722,-79.380288,15.0,Cluny Bistro,3467,8.5,35 Tank House Lane
5,43.657763,-79.389165,25.0,The Keg Steakhouse & Bar,4705,8.9,515 Jarvis St
6,43.656729,-79.382736,22.0,Sukho Thai,4780,8.7,52 Wellington St E
7,43.664467,-79.414783,19.0,The Keg Steakhouse + Bar,4877,8.7,26 the Esplanade
8,43.675492,-79.388858,15.0,Pai,5856,9.2,18 Duncan St
9,43.674991,-79.396273,11.0,Chotto Matte,5182,8.8,161 Bay St
10,43.671944,-79.387778,17.0,The Good Neighbour,2239,8.8,238 Annette St
11,43.662365,-79.351104,18.0,Communist's Daughter,3169,8.6,1149 Dundas St W
12,43.646144,-79.377962,47.0,Sneaky Dee's,3520,8.6,431 College St
13,43.663993,-79.358534,11.0,The Library Specialty Coffee,4811,8.9,281 Dundas St W
14,43.657266,-79.374756,27.0,Pai,5299,9.2,18 Duncan St
15,43.6672144,-79.3452697,15.0,HotBlack Coffee,5165,9.0,245 Queen St W
16,43.673939,-79.441159,15.0,The Keg Steakhouse & Bar,5461,8.9,515 Jarvis St
17,43.657991,-79.340075,11.0,The Keg Steakhouse + Bar,5512,8.8,165 York St
18,43.66745,-79.329408,23.0,Cafe Landwer,5482,8.7,165 University Ave
19,43.672453,-79.338259,15.0,House on Parliament,6336,8.9,454 Parliament St
20,43.6592088,-79.3348396,14.0,Te Aro,1763,8.9,983 Queen St E
21,43.689211,-79.35438,23.0,Boxcar Social,2454,8.9,4 Boulton Ave
22,43.655431,-79.380653,14.0,House on Parliament,4042,8.9,454 Parliament St
23,43.656927,-79.378497,16.0,Neo Coffee Bar,4490,9.0,161 Frederick St
24,43.661324,-79.449534,12.0,The Keg Steakhouse & Bar,4872,8.9,515 Jarvis St
25,43.658295,-79.372346,16.0,Cluny Bistro,3667,8.5,35 Tank House Lane
26,43.6940155,-79.2889842,20.0,Sukho Thai,4977,8.7,52 Wellington St E
27,43.6809164,-79.4229684,16.0,Pai,6051,9.2,18 Duncan St
28,43.6910667,-79.39535,15.0,The Keg Steakhouse + Bar,5075,8.7,26 the Esplanade
29,43.6975969,-79.39654,15.0,Chotto Matte,5379,8.8,161 Bay St
30,43.639832,-79.395954,35.0,Neo Coffee Bar,662,9.0,161 Frederick St
31,43.667158,-79.402761,15.0,Pai,1121,9.2,18 Duncan St
32,43.667333,-79.399429,19.0,HotBlack Coffee,1012,9.0,245 Queen St W
33,43.6480008,-79.383177,19.0,Sukho Thai,555,8.7,52 Wellington St E
34,43.656518,-79.389099,11.0,The Keg Steakhouse + Bar,695,8.8,165 York St
35,43.658148,-79.398167,19.0,Chotto Matte,769,8.8,161 Bay St
36,43.687999,-79.38906,16.0,Walrus Pub & Beer Hall,689,8.7,187 Bay St
37,43.63796,-79.387502,27.0,The Keg Steakhouse + Bar,741,8.7,26 the Esplanade
38,43.6563889,-79.45166666666667,15.0,The Library Specialty Coffee,1148,8.9,281 Dundas St W
39,43.639179,-79.399595,19.0,Cafe Landwer,855,8.7,165 University Ave
40,43.6322445,-79.4108105,27.0,The Keg Steakhouse & Bar,373,8.9,515 Jarvis St
41,43.6616667,-79.40138888888889,15.0,House on Parliament,999,8.9,454 Parliament St
42,43.66666667,-79.45833333333334,19.0,Hair of the Dog,111,8.5,425 Church St
43,43.657192,-79.452559,15.0,The Library Specialty Coffee,1340,8.9,281 Dundas St W
44,43.6576,-79.4032,11.0,HotBlack Coffee,1630,9.0,245 Queen St W
45,43.660694,-79.379052,17.0,Pai,1877,9.2,18 Duncan St
46,43.636533,-79.395854,27.0,Neo Coffee Bar,1696,9.0,161 Frederick St
47,43.640132,-79.380464,56.0,The Keg Steakhouse + Bar,1556,8.8,165 York St
48,43.659777,-79.382767,19.0,Tim Hortons,692,8.5,70 Gerrard St W
49,43.643667,-79.380414,11.0,Sukho Thai,1754,8.7,52 Wellington St E
50,43.666233,-79.373327,23.0,The Library Specialty Coffee,397,8.9,281 Dundas St W
51,43.640114,-79.393249,23.0,HotBlack Coffee,823,9.0,245 Queen St W
52,43.6366666666667,-79.4197222222222,23.0,Pai,1094,9.2,18 Duncan St
53,43.653766,-79.4016759,15.0,The Keg Steakhouse + Bar,955,8.8,165 York St
54,43.6587734,-79.443054,23.0,Tim Hortons,337,8.5,70 Gerrard St W
55,43.6538888888889,-79.4413888888889,15.0,The Keg Steakhouse & Bar,1327,8.9,515 Jarvis St
56,43.6508333333333,-79.4430555555556,19.0,Cafe Landwer,1046,8.7,165 University Ave
57,43.651238,-79.43868,15.0,Neo Coffee Bar,1782,9.0,161 Frederick St
58,43.6544915,-79.422634,11.0,Chotto Matte,1506,8.8,161 Bay St
59,43.6543604,-79.4655296,11.0,House on Parliament,1833,8.9,454 Parliament St
60,43.635932,-79.465083,19.0,HotBlack Coffee,853,9.0,245 Queen St W
61,43.654501,-79.460053,12.0,The Library Specialty Coffee,705,8.9,281 Dundas St W
62,43.637894,-79.454823,27.0,Pai,1085,9.2,18 Duncan St
63,43.634896,-79.467763,19.0,The Keg Steakhouse + Bar,757,8.8,165 York St
64,43.6535269,-79.4650569,23.0,Neo Coffee Bar,1273,9.0,161 Frederick St
65,43.6314,-79.4304,31.0,The Keg Steakhouse & Bar,1169,8.9,515 Jarvis St
66,43.636731,-79.444966,19.0,Cafe Landwer,911,8.7,165 University Ave
67,43.6534268,-79.4512787,12.0,House on Parliament,1422,8.9,454 Parliament St
68,43.7112153,-79.39894,16.0,Tim Hortons,280,8.5,70 Gerrard St W
69,43.655227,-79.39201,15.0,Chotto Matte,1183,8.8,161 Bay St
70,43.685167,-79.34962,12.0,Sneaky Dee's,1077,8.6,431 College St
71,43.6704537,-79.39014,9.0,The Library Specialty Coffee,2221,8.9,281 Dundas St W
72,43.6691099,-79.38551,22.0,Pai,2796,9.2,18 Duncan St
73,43.641389,-79.404444,15.0,HotBlack Coffee,2619,9.0,245 Queen St W
74,43.643834,-79.396649,15.0,Communist's Daughter,1750,8.6,1149 Dundas St W
75,43.6545174,-79.3895315,19.0,The Keg Steakhouse & Bar,2943,8.9,515 Jarvis St
76,43.665846,-79.404998,18.0,The Keg Steakhouse + Bar,2945,8.8,165 York St
77,43.6461,-79.3895,12.0,Cafe Landwer,2939,8.7,165 University Ave
78,43.671349,-79.29451,11.0,Dark Horse Espresso Bar,2104,8.4,215 Spadina Ave
79,43.667208,-79.312315,15.0,Eataly,2175,8.4,55 Bloor St W
80,43.669328,-79.288949,19.0,The Keg Steakhouse & Bar,1289,8.9,515 Jarvis St
81,43.672571,-79.289,15.0,Eataly,637,8.4,55 Bloor St W
82,43.638497,-79.39192,19.0,House on Parliament,2140,8.9,454 Parliament St
